源数据库字段,常用中文名,源类型,目标类型,敏感级别,涉及流程数,必填占比,目标分布,校验规则摘要,脱敏规则,审计要求
contact_phone,联系电话,文本,varchar(32),P2-个人,6,0.0,crm.channel_partner.contact_phone[TYPED_COLUMN]×11；crm.opportunity.contact_phone[TYPED_COLUMN]×11；sales.customer_handover.contact_phone[TYPED_COLUMN]×11；sales.deal.contact_phone[TYPED_COLUMN]×11；sales.lead.contact_phone[TYPED_COLUMN]×11；sales.secondary_sale.contact_phone[TYPED_COLUMN]×11,手机号格式,138****0000,记录新增与修改
content_asset_no,内容/物料编号,文本,varchar(64),P1-内部,20,1.0,content.change_request.content_asset_no[TYPED_COLUMN]×18；media.ad_campaign.content_asset_no[TYPED_COLUMN]×18；planning.change_request.content_asset_no[TYPED_COLUMN]×18；brand.authorization.content_asset_no[TYPED_COLUMN]×17；brand.infringement_case.content_asset_no[TYPED_COLUMN]×17；brand.material_review.content_asset_no[TYPED_COLUMN]×17；content.material_request.content_asset_no[TYPED_COLUMN]×17；content.shooting_task.content_asset_no[TYPED_COLUMN]×17；ecommerce.ota_order.content_asset_no[TYPED_COLUMN]×17；ecommerce.product_listing.content_asset_no[TYPED_COLUMN]×17；ecommerce.refund_order.content_asset_no[TYPED_COLUMN]×17；ecommerce.review_complaint.content_asset_no[TYPED_COLUMN]×17；media.live_session.content_asset_no[TYPED_COLUMN]×17；media.public_opinion_case.content_asset_no[TYPED_COLUMN]×17；media.short_video_release.content_asset_no[TYPED_COLUMN]×17；planning.project.content_asset_no[TYPED_COLUMN]×17；devops.release.content_asset_no[TYPED_COLUMN]×12；planning.event_handover.content_asset_no[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.content_asset_no[TYPED_COLUMN]×6,,,记录新增与修改
content_title,主题/标题,文本,varchar(200),P1-内部,17,1.0,content.change_request.content_title[TYPED_COLUMN]×12；media.ad_campaign.content_title[TYPED_COLUMN]×12；planning.change_request.content_title[TYPED_COLUMN]×12；brand.authorization.content_title[TYPED_COLUMN]×11；brand.infringement_case.content_title[TYPED_COLUMN]×11；brand.material_review.content_title[TYPED_COLUMN]×11；content.material_request.content_title[TYPED_COLUMN]×11；content.shooting_task.content_title[TYPED_COLUMN]×11；ecommerce.ota_order.content_title[TYPED_COLUMN]×11；ecommerce.product_listing.content_title[TYPED_COLUMN]×11；ecommerce.refund_order.content_title[TYPED_COLUMN]×11；ecommerce.review_complaint.content_title[TYPED_COLUMN]×11；media.live_session.content_title[TYPED_COLUMN]×11；media.public_opinion_case.content_title[TYPED_COLUMN]×11；media.short_video_release.content_title[TYPED_COLUMN]×11；planning.project.content_title[TYPED_COLUMN]×11；workflow.wf_orchestration_instance.content_title[TYPED_COLUMN]×6,,,记录新增与修改
content_type,内容类型,枚举,varchar(64),P1-内部,18,1.0,content.change_request.content_type[TYPED_COLUMN]×18；media.ad_campaign.content_type[TYPED_COLUMN]×18；planning.change_request.content_type[TYPED_COLUMN]×18；brand.authorization.content_type[TYPED_COLUMN]×17；brand.infringement_case.content_type[TYPED_COLUMN]×17；brand.material_review.content_type[TYPED_COLUMN]×17；content.material_request.content_type[TYPED_COLUMN]×17；content.shooting_task.content_type[TYPED_COLUMN]×17；ecommerce.ota_order.content_type[TYPED_COLUMN]×17；ecommerce.product_listing.content_type[TYPED_COLUMN]×17；ecommerce.refund_order.content_type[TYPED_COLUMN]×17；ecommerce.review_complaint.content_type[TYPED_COLUMN]×17；media.live_session.content_type[TYPED_COLUMN]×17；media.public_opinion_case.content_type[TYPED_COLUMN]×17；media.short_video_release.content_type[TYPED_COLUMN]×17；planning.project.content_type[TYPED_COLUMN]×17；planning.event_handover.content_type[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.content_type[TYPED_COLUMN]×6,,,记录新增与修改
content_version,目标/课程版本,文本,varchar(32),P1-内部,3,1.0,learning.learning_assignment.content_version[TYPED_COLUMN]×11；performance.performance_cycle.content_version[TYPED_COLUMN]×11；attendance.shift_change_request.content_version[TYPED_COLUMN]×6,,,记录新增与修改
contingency_plan,应急/替代预案,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
contract_order_no,合同/订单编号,文本集合,jsonb,P1-内部,6,0.0,crm.channel_partner_item.item_value_json[CHILD_ITEM]×6；crm.opportunity_item.item_value_json[CHILD_ITEM]×6；sales.customer_handover_item.item_value_json[CHILD_ITEM]×6；sales.deal_item.item_value_json[CHILD_ITEM]×6；sales.lead_item.item_value_json[CHILD_ITEM]×6；sales.secondary_sale_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
converted_to_case,是否转统一案件,布尔,boolean,P1-内部,6,0.0,collaboration.major_matter.converted_to_case[TYPED_COLUMN]×6；reception.complaint.converted_to_case[TYPED_COLUMN]×6；security.crowd_alert.converted_to_case[TYPED_COLUMN]×6；security.event_security_plan.converted_to_case[TYPED_COLUMN]×6；security.patrol_task.converted_to_case[TYPED_COLUMN]×6；security.security_incident.converted_to_case[TYPED_COLUMN]×6,,,记录新增与修改
copyright_info,版权授权信息,长文本/文件,text,P1-内部,16,0.0,content.change_request.copyright_info[TYPED_COLUMN]×12；media.ad_campaign.copyright_info[TYPED_COLUMN]×12；planning.change_request.copyright_info[TYPED_COLUMN]×12；brand.authorization.copyright_info[TYPED_COLUMN]×11；brand.infringement_case.copyright_info[TYPED_COLUMN]×11；brand.material_review.copyright_info[TYPED_COLUMN]×11；content.material_request.copyright_info[TYPED_COLUMN]×11；content.shooting_task.copyright_info[TYPED_COLUMN]×11；ecommerce.ota_order.copyright_info[TYPED_COLUMN]×11；ecommerce.product_listing.copyright_info[TYPED_COLUMN]×11；ecommerce.refund_order.copyright_info[TYPED_COLUMN]×11；ecommerce.review_complaint.copyright_info[TYPED_COLUMN]×11；media.live_session.copyright_info[TYPED_COLUMN]×11；media.public_opinion_case.copyright_info[TYPED_COLUMN]×11；media.short_video_release.copyright_info[TYPED_COLUMN]×11；planning.project.copyright_info[TYPED_COLUMN]×11,,,记录新增与修改
corrective_actions,整改事项,子表,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
corrective_due_at,整改完成期限,日期时间,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
corrective_owner_ids,整改责任人,人员集合,varchar(64),P1-内部,126,0.0,workflow.wf_business_relation.relation_type[RELATION_LINK]×126,,,记录新增与修改
cost_center_id,成本中心,文本,varchar(32),P1-内部,17,1.0,finance.budget_request.cost_center_id[TYPED_COLUMN]×18；finance.reconciliation_task.cost_center_id[TYPED_COLUMN]×18；finance.expense_claim.cost_center_id[TYPED_COLUMN]×17；finance.loan_request.cost_center_id[TYPED_COLUMN]×17；catering.group_meal_order.cost_center_id[TYPED_COLUMN]×6；catering.meal_card_settlement.cost_center_id[TYPED_COLUMN]×6；education.study_tour_delivery.cost_center_id[TYPED_COLUMN]×6；hr.employee_offboarding.cost_center_id[TYPED_COLUMN]×6；marketing.campaign.cost_center_id[TYPED_COLUMN]×6；planning.change_request.cost_center_id[TYPED_COLUMN]×6；planning.project.cost_center_id[TYPED_COLUMN]×6；procurement.purchase_request.cost_center_id[TYPED_COLUMN]×6；reception.reception_order.cost_center_id[TYPED_COLUMN]×6；reward.point_transaction.cost_center_id[TYPED_COLUMN]×6；ticketing.ticket_order.cost_center_id[TYPED_COLUMN]×6；ticketing.ticket_refund_change.cost_center_id[TYPED_COLUMN]×6；welfare.care_case.cost_center_id[TYPED_COLUMN]×6,,,记录新增与修改
counterparty_name,收付款对象,文本,varchar(200),P1-内部,4,0.0,finance.budget_request.counterparty_name[TYPED_COLUMN]×12；finance.reconciliation_task.counterparty_name[TYPED_COLUMN]×12；finance.expense_claim.counterparty_name[TYPED_COLUMN]×11；finance.loan_request.counterparty_name[TYPED_COLUMN]×11,,,记录新增与修改
course_evaluation,课程评价,小数,"numeric(18,6)",P1-内部,3,0.0,education.course_product.course_evaluation[TYPED_COLUMN]×6；education.study_tour_delivery.course_evaluation[TYPED_COLUMN]×6；education.teacher_schedule.course_evaluation[TYPED_COLUMN]×6,,,记录新增与修改
course_team_name,课程/团队名称,文本,varchar(200),P1-内部,4,1.0,education.teacher_schedule.course_team_name[TYPED_COLUMN]×18；education.course_product.course_team_name[TYPED_COLUMN]×17；education.study_tour_delivery.course_team_name[TYPED_COLUMN]×17；learning.learning_assignment.course_team_name[TYPED_COLUMN]×6,,,记录新增与修改
course_version_id,课程编号/版本,文本,varchar(64),P1-内部,4,1.0,education.teacher_schedule.course_version_id[TYPED_COLUMN]×18；education.course_product.course_version_id[TYPED_COLUMN]×17；education.study_tour_delivery.course_version_id[TYPED_COLUMN]×17；learning.learning_assignment.course_version_id[TYPED_COLUMN]×6,,,记录新增与修改
created_at,创建时间,日期时间,timestamptz,P1-内部,126,1.0,workflow.wf_instance.created_at[COMMON_SERVICE]×2164,ISO 8601；不可修改,,记录新增与修改
critical_dependencies,关键依赖,子表,jsonb,P1-内部,7,0.0,workflow.wf_orchestration_instance_item.item_value_json[CHILD_ITEM]×77,,,记录新增与修改
critical_path,关键路径/里程碑,子表,jsonb,P1-内部,7,0.0,workflow.wf_orchestration_instance_item.item_value_json[CHILD_ITEM]×77,,,记录新增与修改
cross_center_escalations,跨中心争议/升级记录,子表,jsonb,P1-内部,7,0.0,workflow.wf_orchestration_instance_item.item_value_json[CHILD_ITEM]×42,,,记录新增与修改
currency,币种,枚举,varchar(64),P1-内部,7,1.0,finance.budget_request.currency[TYPED_COLUMN]×12；finance.reconciliation_task.currency[TYPED_COLUMN]×12；finance.expense_claim.currency[TYPED_COLUMN]×11；finance.loan_request.currency[TYPED_COLUMN]×11；procurement.purchase_request.currency[TYPED_COLUMN]×6；reward.point_transaction.currency[TYPED_COLUMN]×6；welfare.care_case.currency[TYPED_COLUMN]×6,,,记录新增与修改
current_milestone,当前里程碑,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
current_risk_level,当前风险等级,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
current_status,当前状态,枚举,varchar(32),P1-内部,126,1.0,workflow.wf_instance.status[COMMON_SERVICE]×2164,仅允许按状态机迁移,,记录新增与修改
custodian_id,责任人/领用人,文本,varchar(32),P1-内部,6,0.0,asset.stocktake.custodian_id[TYPED_COLUMN]×12；asset.asset_disposal.custodian_id[TYPED_COLUMN]×11；asset.asset_use_transaction.custodian_id[TYPED_COLUMN]×11；asset.stock_in.custodian_id[TYPED_COLUMN]×11；costume.damage_report.custodian_id[TYPED_COLUMN]×11；costume.inventory_check.custodian_id[TYPED_COLUMN]×11,,,记录新增与修改
customer_id,客户编号,文本,varchar(32),P1-内部,8,1.0,crm.channel_partner.customer_id[TYPED_COLUMN]×17；crm.opportunity.customer_id[TYPED_COLUMN]×17；sales.customer_handover.customer_id[TYPED_COLUMN]×17；sales.deal.customer_id[TYPED_COLUMN]×17；sales.lead.customer_id[TYPED_COLUMN]×17；sales.secondary_sale.customer_id[TYPED_COLUMN]×17；reward.discipline_case.customer_id[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.customer_id[TYPED_COLUMN]×6,,,记录新增与修改
customer_name,客户名称,文本,varchar(200),P1-内部,8,1.0,crm.channel_partner.customer_name[TYPED_COLUMN]×17；crm.opportunity.customer_name[TYPED_COLUMN]×17；sales.customer_handover.customer_name[TYPED_COLUMN]×17；sales.deal.customer_name[TYPED_COLUMN]×17；sales.lead.customer_name[TYPED_COLUMN]×17；sales.secondary_sale.customer_name[TYPED_COLUMN]×17；reward.discipline_case.customer_name[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.customer_name[TYPED_COLUMN]×6,,,记录新增与修改
data_scope_rule,数据范围规则,JSON,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
dead_letter_queue,死信队列,文本,jsonb,P1-内部,126,0.0,integration.endpoint.retry_policy.dead_letter_queue[COMMON_SERVICE]×126,,,记录新增与修改
decision,审批决定,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
dedup_rules,防重与幂等规则,JSON,jsonb,P1-内部,126,1.0,workflow.wf_rule.rule_expr.dedup_rules[COMMON_SERVICE]×126,,,记录新增与修改
delivery_or_return_note,到货/退换原因,长文本,text,P1-内部,3,0.0,procurement.emergency_purchase.delivery_or_return_note[TYPED_COLUMN]×6；procurement.purchase_request.delivery_or_return_note[TYPED_COLUMN]×6；procurement.purchase_return.delivery_or_return_note[TYPED_COLUMN]×6,,,记录新增与修改
department_id,所属部门,文本,jsonb,P1-内部,126,0.0,workflow.wf_instance.context_snapshot.department_id[COMMON_SERVICE]×2164,隶属所选中心,,记录新增与修改
deviation_note,偏差说明,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,存在偏差时必填,,记录新增与修改
deviation_type,偏差类型,枚举,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
diagnosis,诊断结果,长文本,text,P1-内部,3,0.0,entertainment.equipment_fault.diagnosis[TYPED_COLUMN]×11；itops.network_incident.diagnosis[TYPED_COLUMN]×11；maintenance.repair_order.diagnosis[TYPED_COLUMN]×11,,,记录新增与修改
document_hash,文件哈希,文本,varchar(128),P1-内部,1,0.0,document.signature_envelope.document_hash[TYPED_COLUMN]×11,,,记录新增与修改
document_type,文档类型,枚举,varchar(64),P1-内部,7,1.0,document.signature_envelope.document_type[TYPED_COLUMN]×17；administration.official_document.document_type[TYPED_COLUMN]×6；brand.authorization.document_type[TYPED_COLUMN]×6；crm.opportunity.document_type[TYPED_COLUMN]×6；merchant.merchant_admission.document_type[TYPED_COLUMN]×6；merchant.merchant_exit.document_type[TYPED_COLUMN]×6；sales.deal.document_type[TYPED_COLUMN]×6,,,记录新增与修改
driver_id,驾驶员,文本,varchar(32),P1-内部,3,0.0,dormitory.stay_record.driver_id[TYPED_COLUMN]×11；fleet.vehicle_dispatch.driver_id[TYPED_COLUMN]×11；fleet.vehicle_incident.driver_id[TYPED_COLUMN]×11,,,记录新增与修改
drone_asset_id,飞行器编号,文本,varchar(64),P1-内部,3,1.0,drone.flight_cancellation.drone_asset_id[TYPED_COLUMN]×11；drone.flight_incident.drone_asset_id[TYPED_COLUMN]×11；drone.flight_task.drone_asset_id[TYPED_COLUMN]×11,,,记录新增与修改
duplicate_check,重复性校验结果,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
duration_hours,折算时长（小时）,小数,"numeric(18,6)",P1-内部,4,1.0,attendance.leave_request.duration_hours[TYPED_COLUMN]×12；attendance.shift_change_request.duration_hours[TYPED_COLUMN]×12；attendance.overtime_request.duration_hours[TYPED_COLUMN]×11；cleaning.cleaning_task.duration_hours[TYPED_COLUMN]×6,不得小于0,,记录新增与修改
effective_at,生效时间,日期时间,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
effective_end_at,生效结束时间,日期时间,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×2164,不得早于开始时间,,记录新增与修改
effective_start_at,生效开始时间,日期时间,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×2164,,,记录新增与修改
eligibility_check,身份资格校验,枚举,jsonb,P1-内部,126,1.0,workflow.wf_rule.rule_expr.eligibility_check[COMMON_SERVICE]×126,,,记录新增与修改
emergency_contact,紧急联系人,文本,jsonb,P2-个人,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,手机号脱敏,记录新增与修改
employee_event_type,事件类型,枚举,varchar(64),P1-内部,13,1.0,reward.point_transaction.employee_event_type[TYPED_COLUMN]×18；reward.discipline_case.employee_event_type[TYPED_COLUMN]×17；reward.reward_case.employee_event_type[TYPED_COLUMN]×17；welfare.care_case.employee_event_type[TYPED_COLUMN]×17；asset.asset_use_transaction.employee_event_type[TYPED_COLUMN]×6；audit.data_quality_issue.employee_event_type[TYPED_COLUMN]×6；collaboration.executive_directive.employee_event_type[TYPED_COLUMN]×6；collaboration.meeting.employee_event_type[TYPED_COLUMN]×6；collaboration.notice.employee_event_type[TYPED_COLUMN]×6；finance.reconciliation_task.employee_event_type[TYPED_COLUMN]×6；iam.permission_request.employee_event_type[TYPED_COLUMN]×6；performance.performance_cycle.employee_event_type[TYPED_COLUMN]×6；procurement.purchase_return.employee_event_type[TYPED_COLUMN]×6,,,记录新增与修改
employment_type,用工/任职类型,枚举,varchar(64),P1-内部,6,1.0,hr.employee_offboarding.employment_type[TYPED_COLUMN]×11；hr.employee_onboarding.employment_type[TYPED_COLUMN]×11；hr.employee_transfer.employment_type[TYPED_COLUMN]×11；hr.promotion_request.employment_type[TYPED_COLUMN]×11；iam.login_session.employment_type[TYPED_COLUMN]×11；iam.permission_request.employment_type[TYPED_COLUMN]×11,,,记录新增与修改
enabled,启用状态,布尔,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
encryption_policy,敏感数据加密策略,文本,jsonb,P1-内部,126,1.0,audit.audit_policy.encryption_policy[COMMON_SERVICE]×126,,,记录新增与修改
end_at,结束时间,日期时间,timestamptz,P1-内部,4,1.0,attendance.leave_request.end_at[TYPED_COLUMN]×12；attendance.shift_change_request.end_at[TYPED_COLUMN]×12；attendance.overtime_request.end_at[TYPED_COLUMN]×11；cleaning.cleaning_task.end_at[TYPED_COLUMN]×6,不得早于开始时间,,记录新增与修改
environment,环境,枚举,varchar(64),P1-内部,14,1.0,devops.release.environment[TYPED_COLUMN]×36；itops.network_change.environment[TYPED_COLUMN]×18；audit.data_export_request.environment[TYPED_COLUMN]×17；audit.data_quality_issue.environment[TYPED_COLUMN]×17；devops.defect.environment[TYPED_COLUMN]×17；devops.requirement.environment[TYPED_COLUMN]×17；iam.account_execution.environment[TYPED_COLUMN]×17；integration.data_import_job.environment[TYPED_COLUMN]×17；itops.recovery_drill.environment[TYPED_COLUMN]×17；itops.service_request.environment[TYPED_COLUMN]×17；itops.event_support.environment[TYPED_COLUMN]×6；itops.network_incident.environment[TYPED_COLUMN]×6；ticketing.offline_check_event.environment[TYPED_COLUMN]×6,,,记录新增与修改
escalation_target,升级对象,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
estimated_total_amount,预计总金额,金额,"numeric(18,2)",P1-内部,3,0.0,procurement.purchase_return.estimated_total_amount[TYPED_COLUMN]×12；procurement.emergency_purchase.estimated_total_amount[TYPED_COLUMN]×11；procurement.purchase_request.estimated_total_amount[TYPED_COLUMN]×11,,,记录新增与修改
evaluation_note,评价内容,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
evaluation_tags,评价标签,多选枚举,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
evidence_attachments,现场证据,文件集合,varchar(128),P2-个人,126,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×126,,,记录新增与修改
evidence_chain_policy,归档与证据链策略,JSON,jsonb,P1-内部,126,1.0,audit.audit_policy.evidence_chain_policy[COMMON_SERVICE]×126,,,记录新增与修改
evidence_items,证据清单,文件/子表,varchar(128),P1-内部,6,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×36,,,记录新增与修改
evidence_no,证书/存证编号,文本,varchar(128),P1-内部,1,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×6,,,记录新增与修改
exception_note,异常说明,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,存在异常时必填,,记录新增与修改
execution_location,执行地点,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
execution_note,执行说明,长文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
execution_result,执行结果,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
expected_close_date,预计成交日期,日期,date,P1-内部,6,0.0,crm.channel_partner.expected_close_date[TYPED_COLUMN]×11；crm.opportunity.expected_close_date[TYPED_COLUMN]×11；sales.customer_handover.expected_close_date[TYPED_COLUMN]×11；sales.deal.expected_close_date[TYPED_COLUMN]×11；sales.lead.expected_close_date[TYPED_COLUMN]×11；sales.secondary_sale.expected_close_date[TYPED_COLUMN]×11,,,记录新增与修改
expected_effective_at,期望生效时间,日期时间,timestamptz,P1-内部,22,0.0,devops.release.expected_effective_at[TYPED_COLUMN]×2；administration.large_event.expected_effective_at[TYPED_COLUMN]×1；asset.stocktake.expected_effective_at[TYPED_COLUMN]×1；attendance.leave_request.expected_effective_at[TYPED_COLUMN]×1；attendance.shift_change_request.expected_effective_at[TYPED_COLUMN]×1；catering.meal_card_settlement.expected_effective_at[TYPED_COLUMN]×1；content.change_request.expected_effective_at[TYPED_COLUMN]×1；education.teacher_schedule.expected_effective_at[TYPED_COLUMN]×1；entertainment.show_session.expected_effective_at[TYPED_COLUMN]×1；entertainment.staff_shortage.expected_effective_at[TYPED_COLUMN]×1；entertainment.suspension_decision.expected_effective_at[TYPED_COLUMN]×1；finance.budget_request.expected_effective_at[TYPED_COLUMN]×1；finance.reconciliation_task.expected_effective_at[TYPED_COLUMN]×1；hr.employee_profile_change.expected_effective_at[TYPED_COLUMN]×1；itops.network_change.expected_effective_at[TYPED_COLUMN]×1；media.ad_campaign.expected_effective_at[TYPED_COLUMN]×1；planning.change_request.expected_effective_at[TYPED_COLUMN]×1；procurement.purchase_return.expected_effective_at[TYPED_COLUMN]×1；reception.change_request.expected_effective_at[TYPED_COLUMN]×1；reward.point_transaction.expected_effective_at[TYPED_COLUMN]×1；ticketing.ticket_refund_change.expected_effective_at[TYPED_COLUMN]×1,,,记录新增与修改
expected_finish_at,期望完成时间,日期时间,timestamptz,P1-内部,126,0.0,workflow.wf_task.due_at[COMMON_SERVICE]×126,不得早于当前时间,,记录新增与修改
expected_reply_at,期望回复时间,日期时间,timestamptz,P1-内部,126,0.0,workflow.wf_task.due_at[COMMON_SERVICE]×126,,,记录新增与修改
expected_result,期望结果,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
expected_revenue,预计成交金额,金额,"numeric(18,2)",P1-内部,6,0.0,crm.channel_partner.expected_revenue[TYPED_COLUMN]×11；crm.opportunity.expected_revenue[TYPED_COLUMN]×11；sales.customer_handover.expected_revenue[TYPED_COLUMN]×11；sales.deal.expected_revenue[TYPED_COLUMN]×11；sales.lead.expected_revenue[TYPED_COLUMN]×11；sales.secondary_sale.expected_revenue[TYPED_COLUMN]×11,,,记录新增与修改
external_reference_no,外部引用编号,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×2164,,,记录新增与修改
fact_occurred_at,事实发生时间,日期时间,timestamptz,P1-内部,6,1.0,reward.point_transaction.fact_occurred_at[TYPED_COLUMN]×12；reward.discipline_case.fact_occurred_at[TYPED_COLUMN]×11；reward.reward_case.fact_occurred_at[TYPED_COLUMN]×11；welfare.care_case.fact_occurred_at[TYPED_COLUMN]×11；performance.performance_cycle.fact_occurred_at[TYPED_COLUMN]×6；procurement.purchase_return.fact_occurred_at[TYPED_COLUMN]×6,,,记录新增与修改
fact_summary,事实与证据摘要,长文本,text,P1-内部,4,1.0,reward.point_transaction.fact_summary[TYPED_COLUMN]×12；reward.discipline_case.fact_summary[TYPED_COLUMN]×11；reward.reward_case.fact_summary[TYPED_COLUMN]×11；welfare.care_case.fact_summary[TYPED_COLUMN]×11,,,记录新增与修改
fault_location_env,发生地点/环境,文本,varchar(200),P1-内部,5,0.0,entertainment.equipment_fault.fault_location_env[TYPED_COLUMN]×17；itops.network_incident.fault_location_env[TYPED_COLUMN]×17；maintenance.repair_order.fault_location_env[TYPED_COLUMN]×17；costume.damage_report.fault_location_env[TYPED_COLUMN]×6；entertainment.suspension_advice.fault_location_env[TYPED_COLUMN]×6,,,记录新增与修改
fault_object,故障/请求对象,文本,varchar(200),P1-内部,6,1.0,entertainment.equipment_fault.fault_object[TYPED_COLUMN]×17；itops.network_incident.fault_object[TYPED_COLUMN]×17；maintenance.repair_order.fault_object[TYPED_COLUMN]×17；costume.damage_report.fault_object[TYPED_COLUMN]×6；entertainment.suspension_advice.fault_object[TYPED_COLUMN]×6；itops.service_request.fault_object[TYPED_COLUMN]×6,,,记录新增与修改
fault_symptom,故障现象/服务请求,长文本,text,P1-内部,3,1.0,entertainment.equipment_fault.fault_symptom[TYPED_COLUMN]×11；itops.network_incident.fault_symptom[TYPED_COLUMN]×11；maintenance.repair_order.fault_symptom[TYPED_COLUMN]×11,,,记录新增与修改
fee_status,租金/费用状态,枚举,varchar(64),P1-内部,3,0.0,merchant.merchant_admission.fee_status[TYPED_COLUMN]×11；merchant.merchant_exit.fee_status[TYPED_COLUMN]×11；merchant.merchant_inspection.fee_status[TYPED_COLUMN]×11,,,记录新增与修改
field_edit_matrix,字段可编辑矩阵,JSON,jsonb,P1-内部,126,1.0,workflow.wf_form_definition.edit_matrix[COMMON_SERVICE]×126,,,记录新增与修改
field_schema,字段Schema,JSON,jsonb,P1-内部,126,1.0,workflow.wf_form_definition.field_schema[COMMON_SERVICE]×126,,,记录新增与修改
field_visibility_matrix,字段可见矩阵,JSON,jsonb,P1-内部,126,1.0,workflow.wf_form_definition.visibility_matrix[COMMON_SERVICE]×126,,,记录新增与修改
filing_permit_no,报备/许可编号,文本,varchar(128),P1-内部,3,0.0,drone.flight_cancellation.filing_permit_no[TYPED_COLUMN]×6；drone.flight_incident.filing_permit_no[TYPED_COLUMN]×6；drone.flight_task.filing_permit_no[TYPED_COLUMN]×6,,,记录新增与修改
flight_area,飞行区域/空域,文本,text,P1-内部,3,1.0,drone.flight_cancellation.flight_area[TYPED_COLUMN]×11；drone.flight_incident.flight_area[TYPED_COLUMN]×11；drone.flight_task.flight_area[TYPED_COLUMN]×11,,,记录新增与修改
flight_log,飞行日志,文件/JSON,jsonb,P1-内部,3,0.0,drone.flight_cancellation_item.item_value_json[CHILD_ITEM]×6；drone.flight_incident_item.item_value_json[CHILD_ITEM]×6；drone.flight_task_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
flight_purpose,飞行用途,枚举,varchar(64),P1-内部,3,1.0,drone.flight_cancellation.flight_purpose[TYPED_COLUMN]×17；drone.flight_incident.flight_purpose[TYPED_COLUMN]×17；drone.flight_task.flight_purpose[TYPED_COLUMN]×17,,,记录新增与修改
flight_task_no,飞行任务编号,文本,varchar(64),P1-内部,3,1.0,drone.flight_cancellation.flight_task_no[TYPED_COLUMN]×17；drone.flight_incident.flight_task_no[TYPED_COLUMN]×17；drone.flight_task.flight_task_no[TYPED_COLUMN]×17,,,记录新增与修改
followup_complaint_summary,回访/客诉摘要,长文本,text,P1-内部,3,0.0,reception.change_request.followup_complaint_summary[TYPED_COLUMN]×6；reception.guide_execution.followup_complaint_summary[TYPED_COLUMN]×6；reception.reception_order.followup_complaint_summary[TYPED_COLUMN]×6,,,记录新增与修改
